Subj_idx,Stimulus,Response,Confidence,RT_decision,RT_confidence,Difficulty
1,2,1,1,5.486,1.533,1
1,2,2,3,1.345,0.815,1
1,1,1,3,0.532,0.567,1
1,1,1,2,0.663,0.704,1
1,2,2,1,1.983,0.404,1
1,1,2,2,2.381,0.91,1
1,2,2,1,0.94,1.015,1
1,2,2,1,0.907,0.528,1
1,1,1,2,0.927,0.934,1
1,2,1,2,0.465,0.879,1
1,1,1,3,0.492,0.311,1
1,2,1,1,0.764,0.476,1
1,1,2,1,0.795,0.391,1
1,2,2,1,0.703,0.324,1
1,1,2,1,1.376,0.463,1
1,1,1,2,0.855,0.583,1
1,1,1,3,0.627,0.991,1
1,2,2,1,1.061,0.471,1
1,2,2,1,1.056,0.43,1
1,1,1,2,0.706,0.632,1
1,1,1,3,0.43,0.342,1
1,1,1,3,0.563,0.319,1
1,1,1,2,0.459,0.335,1
1,1,1,2,0.368,0.331,1
1,2,1,2,0.733,0.527,1
1,2,1,1,0.558,0.343,1
1,2,2,2,0.694,1.159,1
1,2,2,2,0.674,0.631,1
1,1,1,2,0.347,0.328,1
1,1,1,3,0.903,1.015,1
1,2,2,2,0.339,1.765,1
1,2,2,3,0.6,0.784,1
1,2,2,3,0.449,0.472,1
1,2,2,3,0.259,0.351,1
1,2,2,2,0.41,0.773,1
1,2,2,2,0.291,0.335,1
1,2,2,2,0.288,0.366,1
1,2,2,2,0.502,0.364,1
1,1,2,3,0.44,0.353,1
1,1,-10,-10,-10,-10,1
1,1,1,3,1.143,0.959,1
1,2,1,2,0.399,0.637,1
1,2,1,2,0.62,0.379,1
1,2,2,3,0.704,0.833,1
1,1,1,3,0.381,0.757,1
1,1,2,1,0.579,1.399,1
1,1,1,2,0.542,0.374,1
1,2,1,2,0.463,0.279,1
1,2,2,3,0.913,0.495,1
1,2,2,3,0.488,0.379,1
1,2,2,3,0.299,0.219,1
1,1,2,3,0.492,0.215,1
1,1,1,3,0.421,0.665,1
1,1,1,2,0.308,0.162,1
1,1,1,3,0.37,0.295,1
1,1,1,2,0.257,0.215,1
1,2,1,1,0.229,1.379,1
1,1,1,2,0.474,0.191,1
1,2,1,1,0.436,0.231,1
1,1,1,3,0.506,0.115,1
1,1,1,2,0.618,0.135,1
1,2,1,3,0.441,0.199,1
1,1,1,3,0.188,0.151,1
1,2,2,3,0.989,0.117,1
1,2,2,1,0.298,0.183,1
1,2,2,1,0.125,0.124,1
1,1,1,3,1.67,0.849,1
1,1,1,2,0.402,0.346,1
1,2,1,1,0.375,0.204,1
1,2,2,2,0.299,0.919,1
1,2,2,2,0.346,0.198,1
1,1,1,2,0.353,0.139,1
1,2,1,2,0.975,0.135,1
1,1,1,2,0.282,0.108,1
1,2,2,2,0.381,0.664,1
1,1,2,2,0.346,0.205,1
1,1,2,2,0.258,0.211,1
1,1,1,3,0.302,0.5,1
1,1,1,3,0.199,0.287,1
1,2,-10,-10,-10,-10,1
1,1,1,1,0.899,0.375,1
1,2,2,2,0.706,0.704,1
1,1,2,2,0.336,0.222,1
1,2,2,3,0.329,0.191,1
1,1,1,2,0.512,0.414,1
1,1,1,2,0.926,0.368,1
1,1,1,3,1.069,0.487,1
1,1,1,3,0.796,0.366,1
1,2,1,2,0.813,0.54,1
1,2,1,1,0.462,0.312,1
1,2,1,1,0.339,0.28,1
1,2,1,1,0.557,1.055,1
1,2,2,2,0.914,0.485,1
1,1,2,1,0.562,0.481,1
1,1,2,1,0.315,0.623,1
1,2,2,3,0.408,0.295,1
1,1,2,1,0.584,0.324,1
1,1,2,2,0.298,0.341,1
1,2,2,1,0.104,0.501,1
1,1,-10,-10,-10,-10,1
2,1,1,2,1.433,0.705,1
2,1,1,3,1.1,0.854,1
2,1,2,3,1.33,0.782,1
2,1,1,1,0.928,0.343,1
2,2,2,2,1.131,0.552,1
2,1,1,3,0.727,0.803,1
2,1,1,4,0.785,0.538,1
2,1,1,3,1.067,0.831,1
2,2,2,4,2.049,0.624,1
2,2,2,3,1.032,0.953,1
2,1,1,3,1.113,2.263,1
2,2,2,4,1.064,0.78,1
2,1,1,4,0.674,1.686,1
2,1,1,3,1.075,0.54,1
2,2,2,4,1.066,0.413,1
2,1,1,3,0.885,0.75,1
2,2,2,2,1.732,0.456,1
2,1,1,1,0.785,0.736,1
2,1,1,1,0.863,0.388,1
2,2,2,4,1.012,0.553,1
